No.,Name of the Organization,District of HQs/Physical Address,GEOGRAPHICAL AREA OF COVERAGE,KEY ACTIVITIES/OBJECTIVES,REG NUMBER,PERMIT NUMBER
1410,FOUNDATION FOR HUMAN RIGHTS INITIATIVE,"KAMPALA; JOHN KIYINGI ROAD, NSAMBYA; PLOT 853; P.O BOX 11027 KAMPALA",COUNTRY WIDE,"ADVOCACY IN HUMAN RIGHTS; PROMOTE BEST PRACTIES FOR GOOD GOVERNANCE, RULE OF LAW",INDR6344144NB,INDP4814144NB
1411,FOUNDATION FOR HUMANITY,"MUKONO; NAKABAGO KIGAGA ZONE, NASUUTI CELL, NTAWO WARD; MUKONO CENTRAL DIV; BOX",MUKONO,"TO IMPROVE THE LIVING CONDITIONS OF OLDER PERSONS, YOUTH AND OTHER MARGINALIZED",INDR160645305NB,INDP0005305NB
1412,FOUNDATION FOR INTEGRATED RURAL DEVELOPMENT,"LIRA; PLOT 24 NUBI RD JUNIOR QUARTERS, LIRA MUNICIPALITY; P.O. BOX 711 LIRA",LIRA,HUMAN RIGHTS AND FOOD SECURITY; INCOME GENERATING ACTIVITIES; RESEARCH EMERGENC,INDR139161787NB,INDP0001787NB
1413,FOUNDATION FOR INTERNATIONAL MEDICAL RELIEF OF CHI,"MBALE DISTRICT,BUSHIKA ,NANGABO TOWN COUNCIL",BUDUDA,"TO PROVIDE HIGH,QUALITY MEDICAL CARE TO RESIDENTS OF BUMWALUKANI PARISH AND SUR",FORR88162304NB,FORP82922304NB
1414,FOUNDATION FOR JUSTICE AND DEVELOPMENT INITIATIVES,"GULU; PLOT 5B, PETER PAUL OPOK RD; P.O. BOX 1422 GULU",COUNTRYWIDE,ADVOCATING FOR APPROPRIATE POLICIES; SOCIO-ECONOMIC EMPOWERMENT AND RESEARCH,INDR124401132NB,INDP121311132NB
1415,FOUNDATION FOR OPEN DEVELOPMENT,TORORO; P.O.BOX 98,COUNTRY WIDE,"TO PROMOTE RESEARCH AND INNOVATION,POLICY ADVOCACY AND CONSUITANCY,CAPACITY BUIL",INDR110354798NB,INDP104314798NB
1416,FOUNDATION FOR RESIIENCE AND COMMUNITY EMPOWERMENT,SOROTI; CELL B SENIOR QUARTERS MOROTO RD BEHIND DELIVERANCE CHURCH,SOROTI,"GOVERNANCE AND HUMAN RIGHTS, SUSTAINABLE LIVELIHOODS, SRH",INDR160945585NB,INDP0005585NB
1417,FOUNDATION FOR RURAL DEVELOPMENT UGANDA,,COUNTRYWIDE,,INDR25122712NB,INDP1362712NB
1418,FOUNDATION FOR RURAL HOUSING,KAMPALA;PLOT 108 BLOCK 244 BUKASA RD NAMUWONGO,KAMPALA,"TO SENSITIZE THE NEED OF GOOD HOUSING UNITS, ENVIRONMENTAL PROTECTION AND HUMAN",INDR42135443NB,INDP40525443NB
1419,FOUNDATION FOR WOMEN AFFECTED BY CONFLICTS,KITGUM; FORMER NIGHT COMMUTERS'CENTRE NEXT TO KITGUM HOSP; BOX 169 KITGUM,KITGUM,"GIRLS AND WOMEN EMPOWERMENT, ADVOCACY AND IGAS",INDR108473754NB,INDR106043754NB
1420,FOUNDATION FOR WOMEN AFFECTED BY CONFLICTS (FOWAC),P.O.BOX 36597 KAMPALA,KITGUM,TO IMPROVE THE QUALITY OF LIFE FOR WOMEN AND GIRLS AFFECTED BY CONFLICTS IN NORT,INDR106043754NB,INDRI108473754NB
1421,FOUNDATION FOR YOUTH FIGHT AGAINST POVERTY MBALE,"MBALE; BUWALASI CELL, NABUYONGA WARD NORTHERN DIVISION; P.O. BOX",MBALE,YOUTH INFORMATION FORUM; HUMNA RIGHTS PROGRAMMES AND ADVOCACY; PROMOTING MODERN,INDR139471318NB,INDP0001318NB
1422,FOUNDATION JOSEPH NISHIRIMBERE,KAMPALA; PARK ROYAL BUILDING BUGANDA ROAD LEVEL 3 RM B3; P.O. BOX 27946 KAMPALA,COUNTRYWIDE,EDUCATION SCHOLARSHIP TO INDIGENT ENTERPRENUERSHIP,REGR145712029NB,REGP0002029NB
1423,FOUNDATION TO F0STER YOUTH IN MADI SUB REGION,MOYO; TOLORO VILL MOYO SC; BOX 257 MOYO,MOYO,"ENTREPRENEURSHIP SKILLS, IGAS,",INDR162685577NB,INDP0005577NB
1424,FOUNDATION TO FOSTER YOUTHS IN MADI SUB-REGION,16513 KAMPALA,MOYO,"TO PROMOTE HEALTH, CREATION OF AWARENESS ABOUT DRUG ABUSE, SEXUAL REPRODUCTIVE H",INDP0005577NB,INDR16265577NB
1425,FOUNDATION XCALIBUR,"KAMPALA; 7TH FLOOR COURSE VIEW TOWERS,YUSUF LULE RD",KAMPALA,TO PROMOTE THE TRAINING AND DEVELPOMENT AMONG YOUNG PEOPLE OF VALUES OF SPORTS.,INDR159215098NB,INDP0005098NB
1426,FOUNDRISING COMMUNITY DEVELOPMENT,JINJA; BLACK LANTERN BUJAGALI NORTHERN DIVISION; P.O. BOX 874 JINJA,JINJA,"ACCESS TO CLEAN WATER, PROMOTE COMMERCIAL FARMING",FORR156724786NB,FORP0004786NB
1427,FOUNTAIN CHILD SUPPORT ORGANISATION,KAMPALA; P.O. BOX 10372 KAMPALA,COUNTRYWIDE,PROVIDING EDUCATION TO OVCS AND UPHOLDING CULTURAL VALUES IN ORDER TO CONTROL IM,INDR119391198NB,INDP107611198NB
1428,FOUNTAIN GATE MINISTRY OF ALL NATIONS,KAMPALA; KIBULI TRAINING SCHOOL; P.O. BOX 8703 KAMPALA,COUNTRYWIDE,PREACHING THE GOSPEL; PREVENTION OF HIV/AIDS; ESTABLISHING AND SUPPORTING EDUCAT,INDR113611273NB,INDP109081273NB
1429,FOUNTAIN OF HOPE MINISTRIES INTERNATIONAL,"JINJA; WALUKUBA MASESE, PLOT 52 MENYA RD; P.O. BOX 1958 JINJA",JINJA,TO ENCOURAGE EVANGELISM,INDR156744846NB,INDP0004846NB
1430,FOUR SQUARE GOSPEL CHURCH,"P.O. BOX 8275, KAMPALA",COUNTRYWIDE,TO SPREAD THE GOSPEL,INDR24623030NB,INDP22863030NB
1431,FR. BASH FOUNDATION,"MBARARA; NYAMITANGA ARCHDIOCESE, CHARISMATIC OFFICE; P.O. BOX 150 MBARARA",COUNTRYWIDE,SUPPORTING OVCS WITH EDUCATION AND HEALTH CARE,INDR71473763NB,INDP66653763NB
1432,FRANCISCAN OF THE IMMACULATE HEART OF MARY MISSION,"KAMPALA;IMMACULATE CONVENT,P.O BOX-425,BOMBO-NAMALIGA",COUNTRY WIDE,TO PROMOTE AND SUPPORT CATHOLIC CHURCH ACTIVITIES SANCTIFICATION OF WOMEN AND EM,INTR118074721NB,INTP114184721NB
1433,FRATERNITY OF THE VULNERABLE,"KAMPALA DISTRICT, NSAMBYA -KILOMBE",KAMPLA,TO DEVELOP AND IMPROVE THE SOCIO-ECONOMIC STATUS,CONTR144432388NB,CONTP0002388NB
1434,FRECKLED LOVE,JINJA; PLOT 8-12 NTEMBE LANE,JINJA,TO SHARE GODS LOVE IN EVERY SITUATION,INTR160245264NB,INTP0005264NB
1435,FREE CHILD UGANDA,"PLOT 4, WANAINCHI ROAD, MINISTERS' VILLAGE NTINDA",KAMPALA,TO PROVIDE LEGAL AID SERVICES TO CHILDREN,INDR124733023NB,INDP121473023NB
1436,FREE PRESBYTERIAN MISSION SOCIETY,"KALUNGU, NSAALU-MUWOOMYA, KYAMBALA, BUKULULA-KALUNGU",KALUNGU,"PREACH CHRIST, PROVIDE HEALTH CARE AND PROVIDE HUMANITARIAN RELIEF",FORR130915609NB,FORP127865609NB
1437,FREE RIVER LIFE CENTRE MINISTRIES,,,,INDR8347577NB,INDP7979577NB
1438,FREEDOM GOSPEL MINISTRY,"KAMPALA; KIKAAYA A, KIKAAYA PARISH, KAWEMPE DIVISION",KAMPALA,TO ADVANCE CHRISTIAN FAITH IN UGANDA,INDR158735073NB,INDP0005073NB
1439,FREEDOM HOUSE-UGANDA,"PLOT 54A, NTINDA II ROAD, LOWER NAGURU - KAMPALA.",KAMPALA,PROMOTE GOOD GOVERNANCE AND DEMOCRACY,INDR115125660NB,INDP112545660NB
1440,FRENCH TASTE DEVELOPMENT INTIATIVE,"JINJA DISTRICT,GABULA PLOT 4C$D, JINJA",JINJA,TO EMPOWER YOUTH AND UNEMPLOYED PERSONS.,FORR145352342NB,FORP0002342NB
1441,FRESH REVIVAL FIRE CARE UGANDA,P.O BOX 87 MBALE,MBALE,"PREACH THE GOSPEL, SUPPORT ORPHANS AND VULNERABLE CHILDREN, CAPACITY BUILDING, S",FORR12460325NB,FORP12170325NB
1442,FRESH START FOUNDATION,KAMPALA; MUKUBIRA ZONE OFF SIR APPOLO KAGGWA RD BEHIND PRINCIPLE MBI; P.O. BOX 5,KAMPALA,IMPROVING THE QUALITY OF LIFE OF PWDS AND TRAINING SUPPORT WORKERS IN HANDLING A,INDR141331779NB,INDP0001779NB
1443,FRESH START MINISTRIES INTERNATIONAL,"KAMPALA; NEETA VILLAGE, CIVIC PARISH KAMPALA CENTRAL; P.O. BOX 29149 KAMPALA","KAMPALA, WAKISO, MUBENDE, MITYANA AND LUWERO",ESTABLISHING PRISON MINISTRIES; TRAIN COMMUNITIES AND PRMOTING MICRO ENTERPRISES,INDR139761372NB,INDP0001372NB
1444,FRIEDRICH -EBERT- STITUNG (FES),P.O BOX 257 ENTEBBE,KAMPALA,SUPPORTING NATIONAL AND INTERNATIONAL STUDENTS WHO ARE SCIENTIFICALLY OUTSTANDI,FORR13536239NB,FORP000239NB
1445,FRIENDS,"WAKISO; LWEZA TRAINING AND CONFERENCE CENTRE, LWEZA KIGO RD",WAKISO,TO PROMOTE EDUCATION AND GROWTH SUPPORT FOR THE NEXT GENERATION,INTR162255467NB,INTP0005467NB
1446,FRIENDS OF CANON GIDEON FOUNDATION,KAMPALA;6MILES BOMBO ROAD,KAMPALA,TO PROVIDE HIV/AIDS EDUCATION AND PREVENTION,INDR43474959NB,INDP40494959NB
1447,FRIENDS OF CHRIST CHURCH,"KAMPALA; KIREKA,NAMUGONGO ROAD,KIIRA TOWN COUNCIL.","KAMPALA,WAKISO","TO PREACH THE GOSPEL,PROMOTE FORMATION AND GROWTH OF EVANGELICAL CHRISTIAN UNIO",INDR157194834NB,INDP0004834NB
1448,FRIENDS OF CHRIST MINISTRIES,,,PREACH THE GOSPEL,INDR4802302NB,INDP4460302NB
1449,FRIENDS OF FEMLEAD FOUNDATION,LUUKA; BUSIIRO LC1 WAIBUGA SUB COUNTY; P.O. BOX 23037 KAMPALA,LUUKA,TO SUPPORT CHILDREEN RIGHTS,INDR161845476NB,INDP0005476NB
1450,FRIENDS OF GOOD WILL,APAC; ASDI BUILDING MAGISTRATE COURT RD; BOX 163 APAC,APAC,"COLLECTIVE EFFORT TO SUPPORT OVCS, RESEARCH, ADVOCACY",INDR129325042NB,INDP126795042NB
1451,FRIENDS OF KIDS AND YOUTH INTERNATIONAL,ADJUMANI; CENTRAL I ADJUMAN TOWN COUNCIL; P.O. BOX 127 ADJUMANI,ADJUMANI,PROMOTING PEACE AMONG CHILDREN AND YOUTH IN REFUGEE CAMPS; PSYCHOSOCIAL SUPPORT;,INDR139531161NB,INDP0001161NB
1452,FRIENDS OF KIWANUKA SULAIMAN ORGANISATION,MUKONO; NAKIFUMA TAXI PARK KIWAFU-KIMENYEDE SUB COUNTY; P.O. BOX 9777 KAMPALA,MUKONO,"FINANCIAL EDUCATION, VOCATIONAL TRAINING AND HEALTH CARE",INDR158264986NB,INDP0004986NB
1453,FRIENDS OF PHARMBIOTIC FOUNDATION,"MBARARA, KIHUMURO, 7 KILOMETRES ALONG MBARARA-BUSHANYI HIGHWAY. P.O BOX 1410 MBA",COUNTRYWIDE,TO LEVERAGE RESOURCES TO SUPPORT AND ADVANCE THE MISSION OF PHARMBIOTIC,FORR162895677NB,FORP0005677NB
1454,FRIENDS OF RURAL ADVANCEMENT,KYOTERA; KYOTERA TOWN; P.O. BOX 9 KALISIZO,KYOTERA; RAKAI; LWENGO; BUKOMANSIMBI AND WAKISO,MODERN FARMING BUSINESSES; INCREASE HOUSEHOLD SECURITY AND PROMOTING NUTRITION A,INDR49441729NB,INDP45101729NB
1455,FRIENDS OF STREET KIDS AND ORPHANS,"KAMPALA;BOSTON-SALAAMA,MAKINDYE DIVISION",KAMPALA,TO TAKE CHILDREN FROM THE STREETS INTO A SAFE AND LOVING ENVIROMENT,INDR160905307NB,INDP0005307NB
1456,FRIENDS OF STREETKIDS AND ORPHANS FOUNDATION,KAMPALA; LOWER KONGE BOSTON; P.O. BOX,KAMPALA,EVANGELISM TO STREET CHILDREN AND ORPHANS AND REHABILITATING STREET CHILDREN,INDR106101560NB,INDP101561560NB
1457,FRIENDS OF THE MOUNTAIN GORILLA SOCIETY,"KAMPALA, P.O BOX 23028 KAMPALA",COUNTRYWIDE,,INDR2904545NB,INDP2662545NB
1458,FRIENDS OF THE POOR-KASESE,"KASESE DISTRICT,KIBURARA-RWEMBYO,KISINGA SUBCOUNTY",KASESE,TO PROVIDE ENTERPRENUERSHIP SKILLS TO YOUTH AND WOMEN,INDR146672275NB,INDP0002275NB
1459,FRIENDS OF ZOKA,ADJUMANI; FORUA VILLAGE ADJUMANI TOWN COUNCIL; P.O. BOX,COUNTRYWIDE,ADVOCATE FOR THE PROTECTION CONSERVATION AND PRESERVATION OF ZONE CENTRAL FOREST,INDR147082727NB,INDP0002727NB
1460,FRIENDS WITH HOPE-AFRICA,"KAMPALA; PLOT 26 BUGANDA ROAD, PARK ROYAL BUILDING LEVEL 3 SUITE B3; P.O. BOX 27",KAMPALA,"EDUCATION, HEALTH CARE AND LIVELIHOODS",INDR126154354NB,INDP122564354NB
1461,FRIENDS WITH VISION INITIATIVE,LIRA; PLOT 8 OJWINA DIVISION; P.O. BOX 1066 LIRA,LIRA,"TO PROMOTE HEALTH,EDUCATION AND SPORTS IN UGANDA",INDR162255525NB,INDP0005525NB
1462,FRONTIER FORCE CHRISTIAN MINISTRIES,P.O. BOX 6781 KAMPALA,COUNTRYWIDE,"EVANGELISM AND BASIC NEEDS PROVISION TO OVCS, WIDOWS, ELDLERLY AND PROMOTE RELIG",INDR56131863NB,INDP54031863NB
1463,FRONTIERS OF GOOD GOVERNANCE AND DEVELOPMENT,"KAMPALA; NUMORK BUILDING, PLOT 35/36 KYAGWE ROAD; P.O. BOX 33261 KAMPALA",COUNTRYWIDE,ADVOCATING FOR EFFECTIVE RESOURCE MANAGEMENT; CAPACITY BUILDING AND COMPUTER SKI,INDR107461627NB,INDP104001627NB
1464,FRONTLINE,"KAMPALA; MILLENIUM CHAMBERS NAJJANAKUMBI THIRD FLOOR, ENTEBBE RD",KAMPALA,TO PROVIDE PSYCHOSOCIAL CARE TO PERSONS AFFECTED BY CONFLICT AND DISASTER,INTR160895319NB,INTP0005319NB
1465,FRONTLINE MINISTRIES INTERNATIONAL,"BUKEDEA DISTRUCT, BUKEDEA TOWN COUNCIL.",COUNTRYWIDE,TO CARRY OUT EVANGELISM,INDR46783353NB,INDP42873353NB
1466,FRUITFUL SOCIAL NETWORK,"BUTALEJA; SCHEME VIEW VILLAGE MUYAGO PARISH, MAZIMASA S/C; BOX 310006 MBALE",BUTALEJA,PROMOTE GOOD CHILD AND MATERNAL HEALTH AND NUTRITION FOR EXPTANT MOTHERS,INDR159065070NB,INDP0005070NB
1467,FRUITS OF CHARITY FOUNDATION,"WAKISO; SSEGUKU, 10KM OFF ENTEBBE ROAD P.O BOX 36968 KAMPALA",COUNTRYWIDE,"ADVOCATING FOR CHILDREN RIGHTS, PROVIDING A VITAL LIFELINE FOR STREET CHILDREN",INDR1062520NB,INDP1012020NB
1468,FUN FARMING UGANDA,NAKASEKE; BUKOBA CENTRAL LC I BUTALANGU LUWERO-NGOMA ROAD; P.O. BOX 2734 KAMPALA,NAKASEKE,TO CARRY ON AGRO BASED BUSINESS OF BUYING AND SELLING OF AGRICULTURAL PRODUCE.,INDR152854238NB,INDP0004238NB
1469,FUND A FIELD,"LAMWO DISTRICT,PALABEK REFUGEE CAMP",COUNTRYWIDE,"TO ENRICH THE LIVES OF LESS FORTUNATE KIDS IN DEVELOPING WORLD THROUGH SPORTS, U",INTR144662143NB,INTP0002143NB
1470,FUND A FUTURE UGANDA,"KAMPALA DISTRICT,PLOT NO.49 KIRA ROAD,KAMWOKYA P.O.BOX 71922KAMPALA",0794-528-715/,TO PROMOTE EDUCATION AND BASIC NEEDS,INDR144652123NB,INDP0002131NB
1471,FUNDAMENTAL INITIATIVE FOR SUSTAINABLE TRANSFORMAT,"JINJA; WALUKUBA EAST, JINJA BLOCK 11-13 MAGYEZI ROAD; P.O. BOX 1744 JINJA",JINJA,TRANSFORMING THE WELBEING OF COMMUNITIES; CONSULTANCY SERVICES IN MODERN AGRICUL,INDR138971301NB,INDP0001301NB
1472,FUNDING WITH US (U),KAMPALA; TILUPAT BUILDING ALONG KANSANGA ROAD; P.O. BOX 24771 KAMPALA,KAMPALA,EDUCATION AND TRAINING OPPORTUNITIES; ENTREPRENEURAL SKILLS; MICRO CREDITS TO PE,INDR135481144NB,INDP0001144NB
1473,FURAHA MINISTRIES,"MUKONO; NABUTI CENTRAL, NAMUMIRA ANTHONY WARD, MUKONO CENTRAL DIVISION; P.O. BOX",MUKONO,"IMPROVE ACCESS TO EDUCATION, HEALTH CARE SERVICES AND DISCIPLINING CHILDREN; FAC",INDR141201834NB,INDP0001834NB
1474,FUTURE AFRICA MISSION,LUWERO; P.O. BOX 113 WOBULENZI,LUWERO,"SUPPORT PROJECTS, COMMUNITY SKILLS AND WOMEN EMPOWERMENT",INDR129554966NB,INDP126274966NB
1475,FUTURE GENERATIONS INITIATIVES,"MBARARA DISTRICT,ADIT MALL",MBARARA,"TTO PROMOTE LIFE SKILLS,ADVOCATE FOR BETTER EDUCATION,AGRICULTURE,ENVIRONMENTAL",REGR144222210NB,REGP0002210NB
1476,FUTURE GENERATIONS INITIATIVES AFRICA,"MBARARA DISTRICT,P.O. BOX 8271, MBARARA",COUNTRYWIDE,TO PROMOTE LIFE SKILLS,INDR144222116NB,INDP0002116NB
1477,GALIEMAYA FOUNDATION,"MPIGI , NABUSANKE LC1A KAYABWE TOWN COUNCIL",MPIGI,TO PROVIDE AVAIL OFFER AND DELIVER SOCIA-ECONOMIC SECUIRTY FOR OPHANED CHILDERN,INDR164555754NB,INDP0005754NB
1478,GALILEE MEDICARE,KAMPALA; P.O. BOX 26409 KAMPALA,KAMPALA,TO PROMOTE PUBLIC HEALTH CARE; SEXUAL REPRODUCTIVE HEALTH AND RIGHTS OF ALL YOUN,INDR1370011102NB,INDP0001102NB
1479,GALLAD RELIEF AND DEVELOPMENT INTERNATIONAL,"ARUA; RHINO CAMP RD, CENTRAL DIVISION; P.O.BOX 1292 ARUA",ARUA,"TO PROMOTE SUSTAINABLE DEVELOPMENT, ENVIROMENTAL IMPROVEMENT AND CONSERVATION",INDR160915330NB,INDP0005330NB
1480,GALLANT EDWARD FOUNDATION,"WAKISO; MPAWO-NAKUWADDE,BULEGA,LUBANJI ZONE MUNJUKA",WAKISO,PROVIDE MATERIAL ASSISTANCE TO CHILDREN WITH DISADBILITIES ESPECIALLY IN PROVIDI,INDR155554694NB,INDP0004694NB
1481,GALS FORUM INTERNATIONAL,"KAMPALA DISTRICT,MARIA HOUSE OFF KATAZA CLOSE BUGOLOBI",COUNTRYWIDE,"TO PROMOTE DIALOGUE IN MARRIAGE AND GUIDANCE, PROMOTE FINANCIAL SUSTAINABILITY A",INDR119542495NB,INDP115922495NB
1482,GAMCARE UGANDA,"KAMPALA DISTRICT, MAKERERE 11 ZONE C , P.O. BOX 11911, KAMPALA",KAMPALA,TO SUPPORT THOSE AFFECTED BY PROBLEMS,INDR144352526NB,INDP0002526NB
1483,GARUGA HEAVENLY GATE CHURCH,"WAKISO; BULENGA VILLAGE, NALUGALA PARISH, KATABI SUBCOUNTY",COUNTRYWIDE,EVANGELISM AND ESTABLISHING CHURCHES; PROMOTE EDUCATIONAL WELFARE OF CHILDREN; G,INDR140061281NB,INDP0001281NB
1484,GASEMBA CHRISTIAN CHILDRENS FOUNDATION,,JINJA,TO PROVIDE AFFORDABLE AND SUBSIDIZED HEALTH SERVICE COMMITTEES LEAVING IN UGANDA,INDP005646NB,INGR163595646NB
1485,GASEMBA CHRISTIAN CHILDREN'S FOUNDATION,"JINJA, BUYALA TRADING CENTRE, JINJA NORTH DIV-JINJA CITY. P.O BOX 900177","JINJA, KAMULI, BUGIRI,","TO PROMOTE AND FAICLITATE HEALTH EDUCATION, PROVIDE AFFORDABLE AND SUBSIDISED HE",INDR163595641NB,INDP0005641NB
1486,GATE WAY BAPTIST MINISTRIES,"JINJA; GOKHALE ROAD, PLOT 9; P.O.BOX 489 JINJA",COUNTRY WIDE,"PROMOTING BAPTIST CHURCHES,TRANNING NATIONAL PASTORS WORKING SCHOOLS IN REFUGEE",FORR130934799NB,FORP128484799NB
1487,GATE WAY CHURCH,WAKISO; BWERENGA KATABI; P.O. BOX 29287 KAMPALA,COUNTRYWIDE,EVANGELISM AND TEACHING OF PROPOER CHRISTIAN WAYS OF LIVING,INDR101392728NB,INDP97012728NB
1488,GATE WAY FOR DEVELOPMENT FOUNDATION,,,,INDR13715725NB,INDP000725NB
1489,GAVIN MINISTRIES,"KAMPALA; P.O.BOX 14235,MENGO",KAMPALA,"TO EVANGELIZE AND PREACH CHRIST JESUS,PROMOTE RIGHTS OF CHILDREN AND PLANT CHURC",INDR84844800NB,INDP80014800NB
1490,GAZI INITIATIVE FOR COMMUNITY DEVELOPMENT,"ARUA; GAZI CELL AYAVU WARD, INDE TOWN COUNCIL MADI OKOLLO",ARUA,"TO PROMOTE LIVELIHOOD,GENDER TRANSFORMATION,INCREASE FOOD PRODUCTION",INDR158535113NB,INDP0005113NB
1491,GEJJA WOMEN FOUNDATION,MPIGI; BULYASI VILL MAYEMBE UPPER PLOT 139; BOX 40446 NAKAWA,COUNTRYWIDE,TO EQUIP RURAL WOMEN WITH SKILLS,INDR143162266NB,INDP0002266NB
1492,GEN -WA DEVELOPMENT INITIATIVE- UGANDA,KANGAI ROAD KABERAIDO TOWN COUNCIL,COUNTRYWIDE,TO EMPOWER YOUTH AND WOMEN TO GET VOCATIONAL SKILLS,INDR143221957NB,INDP0001957NB
1493,GENDER EQUALITY AND WOMEN EMPOWERMENT FOR DEVELOPM,,KABALE,,INDR147072753NB,INDP0002753NB
1494,GENDER RIGHTS INITIATIVE UGANDA,"MBALE; INDUSTRIAL DIVISION,NAMATAL PARISH,SOMERO CELL, PLOT 2,KABWAGASI RD,HALF",MBALE,SETTING UP RAIN WATER HARVESTING CISTERNS AND TRAINING ON BIO-FUEL BRIQUTTE PROD,INTR72044839NB,INTP57114839NB
1495,GENDER-ENVIRONMENT AND DEVELOPMENT ACTION UGANDA,"KASESE; KISANGA A CELL NYAMWAMBA DIVISION, KASESE MUNICIPALITY",KASESE,"PREVENTION OF GENDER VIOLENCE,CASE MANAGEMENT,REFERRALS,AND VIOLENCE AGAINST CHI",INDR156544767NB,INDP0004767NB
1496,GENERAL MISSION BOARD OF THE CHURCH OF GOD IN CHRI,"BUIKWE;PLOT 84 KAYUNGA RD,NAMINYA TRADING CENTRE,NJERU DIVISION",BUIKWE,TO PROMOTE THE DOCTRINE OF JESUS,INTR23135120NB,INTP21345120NB
1497,GENERATIONS DEVELOPMENT MISSION,"KAMPALA DISTRICT,MASANAFU VILLAGE LUBYA PARISH, RUBAGA DIVISON KINOOYA LC1",KAMPALA,"TO PROMOTE EDUCATION AMONG VULNERABLE CHILDREN, INCREASE THE CAPACITY OF THE YOU",INDR144592209NB,INDP0002209NB
1498,GENERATIONS IN ACTION,"GULU DISTRICT,TEKO PARISH,LACAN KWITE GULU MUNICIPALITY",GULU,TO PROVIDE SOFTWARE MENTAL HEALTH IN EAST AFRICA.,INDR145252211NB,INDP0002211NB
1499,GENERATIONS ROOT FOUNDATION,"JINJA; MAFUBIRA VILLAGE, MAFUBIRA SUBCOUNTY NEAR ALMETA HOSPITAL-SAAKABUSOLO ROA",COUNTRYWIDE,PROVIDE SEXUAL AND REPRODUCTIVE HEALTH TRAININGS TO THE YOUTHS AND ADULTS; INSTI,INDR139131093NB,INDP0001093NB
1500,GENEROSITY CHILDREN'S FOUNDATION,"KAMPALA;NANSANA WEST 11A,",KAMPALA,TO PROMOTE HIGH QUALITY CHILDCARE,INDR157634961NB,INDP0004961NB
1501,GENE'S DEVELOPMENT AND HEALTH INITIATIVE,"GULU; PLOT17, ACHOLI ROAD; P.O. BOX 4453 KAMPALA",GULU,"TO SUPPORT HEALTHCARE SYSTEMS, EDUCATION AND PSYCHOSOCIAL SUPPORT TO THE VULNERA",INDR152264160NB,
1502,GENEVA GLOBAL UGANDA,,,,INTR12753635NB,INTP12433635NB
1503,GERIATRIC RESPITE CARE FOUNDATION,"KAMPALA ,SALAAMA MUNYONYO IBRA NKATA RD AFTER KIRUDDU REFFERAL HOSPITAL",KAMPALA,TO PROMOTE HIGH STANDARDS OF GERIATRIC MEDICINE AND PALLAIATIVE CARE AS WELL AS,INDR149823730NB,INDP0003730NB
1504,GERMAN FOUNDATION FOR WORLD,"WAKISO DISTRICT,LUBOWA HILL-NAZIIBA RISE PLOT NO.17.",COUNTRYWIDE,"TO ENHANCE REPRODUCTIVE HEALTH, RESOURCES CONSERVATION AND COMMUNITY DEVELOPMENT",INTR32402142NB,INTP29782142NB
1505,GERMAN LEPROSY RELIEF ASSOCIATION,"PLOT 4384, KAMPALA. KASANGA, KIWAFU ROAD",COUNTRYWIDE,TO TO PROVIDE TECHNICAL SUPPORT TO THE NATIONAL TB/LEPROSY PROGRAMME,INTR5791920NB,INTP0001920NB
1506,GERMAN MISSIONARY MEDICAL TEAM UGANDA,"KAMPALA; PLOT 32/34 DLCO-EA BUILDING BOMBO RD, 1ST FLOOR SUITE 4; P.O. BOX 22567",KAMPALA,MEDICAL CARE SERVICES AND TRAINING SEVICES TO THE LOCALS,INDR112244406NB,INDP107044406NB
1507,GETRELATIONAL UGANDA,"MUKONO;PLOT 11A,P.O BOX 362 NABIKOLO ROAD TOTAL VILLAGE GULU WARD",MUKONO,"TO PROMOTE THE EMPOWERMENT,INSPIRATION AND NURTURING OF NEEDY",INDR159035089NB,INDP0005089NB
1508,GHF CARE MINISTRIES,KAMPALA; PLOT 84 KOB HOUSE BOMBO RD,MUKONO,TO PROVIDE QUALITY EDUCATION AND MEDICAL SERVICES TO THE VULNERABLE CHILDREN.,INDR158835055NB,INDP0005055NB
1509,GIANT DREAMS FOR AFRICAN VULNERABLE CHILDREN INTER,"WAKISO; NANGABO, KIWALIMU CELL, MASOOLI WARD, KASAGANTI T/C; P.O. BOX 111354 KAM",WAKISO,TO EMPOWER AND PROMOTE HEALTH EDUCATION SERVICES,INDR162525548NB,INDP0005548NB
1510,GIANT DREAMS FOR AFRICAN VULNERABLE CHILDREN INTER,P.O BOX 111354,WAKISO,TO EMPOWER AND EQUIP YOUNG PEOPLE WITH THE NECESSARY SKILLS TO ENABLE BUILD THEI,INDR162525548NB,INDP0005548NB
1511,GIFT IN ME,"KAMPALA DISTRICT,MAKINDYE DIVISION",KAMPALA,"TO DEVELOP TALENTS FOR CHILDREN, HOLD WORKSHOPS",INDR149833645NB,INDP0003645NB
1512,GIFTED MINDS COMMUNITY DEVELOPMENT INITIATIVE,"KAKUMIRO; KISIITA TOWN COUNCIL; ISA BULIMWEZO BUILDING, MUTANZIGYE RD;",KAKUMIRO,"EDUCATIONAL, ECONOMIC AND SCIAL EMPOWERMENT; HUMAN RIGHTS PROTECTION",INDR157704892NB,INDP0004892NB
